question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'data_send' ORDER BY date_time DESC LIMIT 100,transaction_enose,4.8708,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:22.988928
2,transaction_enose,Tampilkan data e-nose yang paling baru,"SELECT device_id, date_time, type, data_send FROM transaction_enose WHERE value LIKE '%e%'",transaction_enose,0.2615,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:23.250418
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND date_time > NOW(),transaction_enose,0.3038,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:23.557728
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE device_id = 'greentea' AND type IN ('e-nose'),transaction_enose,0.2937,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:23.851384
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea' AND type = 'e-nose',transaction_enose,0.3315,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:24.182883
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE user_key = 'device_id_e-nose_1',transaction_enose,0.2651,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:24.448000
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.2413,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:24.689283
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'A' AND type = 'e-nose',transaction_enose,0.2921,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:24.981430
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = DATE('2025-02-01') AND type = 'e-nose',transaction_enose,0.3524,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:25.333877
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-12-31' AND type = 'e-nose',transaction_enose,0.3384,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:25.672324
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('device_id', 'device_id') AND type = 'e-nose'",transaction_enose,0.3378,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:26.010111
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT t.* FROM transaction_enose t JOIN activity_log a ON t.device_id = a.device_id WHERE DATE(t.timestamp_col) BETWEEN '2025-01-10' AND '2025-01-12',transaction_enose,0.5048,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:26.514902
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) ORDER BY score DESC LIMIT 50,transaction_enose,0.2723,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:26.787152
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id' AND type = 'e-nose',transaction_enose,0.3174,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:27.104527
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total_transaksi FROM transaction_enose WHERE device_id IN ('Baik', 'Cacat Mutu') ORDER BY type ASC",transaction_enose,0.349,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:27.453562
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?",SELECT COUNT(*) AS total FROM transaction_enose GROUP BY device_id HAVING count(*) > 5,transaction_enose,0.2611,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:27.714700
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT COUNT(*) AS total_score, SUM(score) AS total_score_sum FROM measurements WHERE type IN ('teh') GROUP BY type",transaction_enose,0.2948,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:28.009507
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose WHERE type = 'data_sent' AND value IS NOT NULL GROUP BY device_id ORDER BY total DESC LIMIT 50",transaction_enose,0.3843,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:28.393798
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_e_nose_1' AND date_time >= '2025-07-01' AND date_time <= '2025-07-31' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5656,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:28.959683
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('device_id', 'device_id') AND date_time = DATE_SUB(CURDATE(), INTERVAL 1 DAY)",transaction_enose,0.3801,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:29.339733
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,"SELECT SUM(CASE WHEN type = 'Cacat Mutu' THEN value ELSE 0 END) AS percentage_CacatMutu FROM transaction_enose WHERE device_id IN ('device1', 'device2')",transaction_enose,0.4304,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:29.770125
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT SUM(CASE WHEN type = 'e-nose' THEN date_time ELSE 0 END) AS total_e_nose FROM transaction_enose WHERE device_id = 'X001' AND value > 20,transaction_enose,0.4321,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:30.202242
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT SUM(CASE WHEN date_time = NOW() THEN 1 ELSE 0 END) AS total_transaksi FROM transaction_enose WHERE device_id = 'device_id_terjadi',transaction_enose,0.4074,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:30.609675
24,transaction_object_detection,Tampilkan semua data deteksi objek,"SELECT detection_time, type, value FROM transaction_object_detection",transaction_object_detection,0.3787,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:30.988359
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection WHERE detection_time BETWEEN '2025-01-01' AND '2025-01-31' ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,0.4373,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:31.425616
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection WHERE detection_time > NOW() AND detection_time < DATE('2025-01-31'),transaction_object_detection,0.312,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:31.737970
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,"SELECT detection_time, type, value FROM transaction_object_detection WHERE detection_time BETWEEN '2025-01-01' AND '2025-01-31'",transaction_object_detection,0.3568,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:32.097881
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.3052,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:32.403044
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE detection_time = '2025-01-01' AND type = 'car',transaction_object_detection,0.3293,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:32.732593
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.2125,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:32.945100
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,"SELECT detection_time, COUNT(*) as total FROM transaction_object_detection WHERE type = 'nilai' AND value = 5 ORDER BY detection_time DESC LIMIT 1",transaction_object_detection,0.3673,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:33.312437
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > CURRENT_DATE(),transaction_object_detection,0.231,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:33.543485
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(detection_time) AS detection_time FROM transaction_object_detection WHERE type = 'objekt',transaction_object_detection,0.2743,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:33.817813
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'jenis',transaction_object_detection,0.2408,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:34.058573
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'deteksi',transaction_object_detection,0.2363,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:34.294878
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN DATE(NOW()) AND NOW(),transaction_object_detection,0.2532,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:34.548083
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN '2025-02-19' AND '2025-02-20',transaction_object_detection,0.3797,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:34.927812
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,SELECT COUNT(*) AS total_detections FROM transaction_object_detection WHERE detection_time = DATE(CURRENT_DATE),transaction_object_detection,0.2862,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:35.214029
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type IN ('value', 'user_key') AND detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.3841,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:35.598083
40,transaction_object_detection,Jenis objek apa yang paling sering muncul dalam record deteksi?,"SELECT detection_time, type FROM transaction_object_detection WHERE value = 1",transaction_object_detection,0.2345,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:35.832586
41,transaction_object_detection,Pada jam berapa deteksi people terbanyak terjadi?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'people' AND detection_time > DATEADD(day, -10, NOW()) ORDER BY total DESC LIMIT 50",transaction_object_detection,0.3929,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:36.225525
42,transaction_object_detection,Berapa persentase setiap jenis objek dari total keseluruhan?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'objekt',transaction_object_detection,0.2375,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:36.463003
43,transaction_object_detection,Tampilkan total deteksi objek per jenis dari device edge_1,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time = DATEADD(YEAR, -1, GETDATE()) AND type = 'edge_1'",transaction_object_detection,0.3534,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:36.816386
44,transaction_enose + transaction_object_detection,Device apa saja yang ada di tabel e-nose tapi tidak ada di tabel object detection?,SELECT COUNT(*) AS count FROM transaction_enose JOIN transaction_object_detection ON transaction_enose.user_key = transaction_object_detection.user_key WHERE transaction_object_detection.type <> 'device_id' AND transaction_object_detection.value IS NOT NULL GROUP BY transaction_enose.device_id ORDER BY count DESC LIMIT 1,"transaction_enose, transaction_object_detection",0.9516,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:54:37.767968
