question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE type = 'transaction' ORDER BY date_time DESC,transaction_enose,4.7438,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:13.933606
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3317,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:14.265303
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC,transaction_enose,0.3133,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:14.578650
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE data_send = 'greentea',transaction_enose,0.195,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:14.773637
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send = 'greentea',transaction_enose,0.2165,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:14.990096
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2241,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:15.214225
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE data_send = JSON_UNQUOTE(JSON_EXTRACT(data_send, '$ .class')) AND JSON_UNQUOTE(JSON_EXTRACT(data_send, '$ .class')) = 'Baik' ORDER BY date_time DESC LIMIT 50",transaction_enose,0.5307,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:15.744959
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE data_send LIKE '%multiclass A%',transaction_enose,0.189,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:15.933913
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025,transaction_enose,0.2846,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:16.218744
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.2164,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:16.435146
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT MAX(date_time) FROM transaction_enose WHERE type = 'transaction' GROUP BY user_key, device_id ORDER BY date_time DESC LIMIT 1",transaction_enose,0.3317,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:16.766864
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '10:00:00' AND '12:00:00',transaction_enose,0.3217,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:17.088594
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MAX(value) AS max_score FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) = 'klasifikasi'",transaction_enose,0.3422,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:17.430799
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",transaction_enose,0.2023,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:17.633062
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) AS classification FROM transaction_enose WHERE type = 'e-nose' AND classification IN ('Baik', 'Cacat Mutu') GROUP BY classification",transaction_enose,0.5264,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:18.159510
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose.data_send, '$.*[""multiclass""].value')) AS multiclass, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY multicclass ORDER BY multiclass",transaction_enose,0.5494,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:18.708904
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')), AVG(JSON_UNQUOTE(JSON_EXTRACT(value, '$.score'))) AS average_score FROM transaction_enose WHERE type = 'teh' GROUP BY JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type'))",transaction_enose,0.5999,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:19.308839
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) as total_send FROM transaction_enose WHERE type = 'data_send' GROUP BY device_id ORDER BY total_send DESC LIMIT 1",transaction_enose,0.3482,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:19.657000
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS month, COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025 GROUP BY month",transaction_enose,0.6636,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:20.320622
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT DATE(date_time) AS transaction_date, COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'e-nose' GROUP BY transaction_date ORDER BY total_transactions DESC LIMIT 1",transaction_enose,0.4428,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:20.763408
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM transaction_enose) AS persentase FROM transaction_enose WHERE type = 'Cacat Mutu',transaction_enose,0.396,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:21.160841
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS month, COUNT(*) > 20 FROM transaction_enose GROUP BY month HAVING COUNT(*) > 20",transaction_enose,0.4222,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:21.583026
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT user_key, SUM(value) AS total FROM transaction_enose WHERE date_time = DATE(date_time) GROUP BY user_key ORDER BY total DESC LIMIT 50",transaction_enose,0.3745,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:21.959031
