question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE data_send LIKE '%e-nose%',transaction_enose,5.7217,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:38.016845
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE type = 'e-nose' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3462,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:38.363006
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = (SELECT MIN(date_time) FROM transaction_enose) ORDER BY date_time ASC LIMIT 1,transaction_enose,0.3655,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:38.730693
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT * FROM transaction_enose WHERE data_send LIKE '%type=""greentea""%'",transaction_enose,0.3008,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:39.031521
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea' AND type LIKE '%greentea%',transaction_enose,0.337,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:39.370034
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.3106,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:39.683135
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",transaction_enose,0.3228,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:40.008007
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE JSON_CONTAINS(data_send, '""multiclass"":""A""', '$')",transaction_enose,0.3079,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:40.315922
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.4296,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:40.745522
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.2863,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:41.031828
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT MAX(date_time) AS last_transaction FROM transaction_enose WHERE type = 'e-nose' GROUP BY user_key, device_id",transaction_enose,0.3776,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:41.409439
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,"SELECT * FROM transaction_enose WHERE DATE_FORMAT(date_time, '%H:%i') BETWEEN '10:00' AND '12:00'",transaction_enose,0.4448,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:41.858027
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(JSON_EXTRACT(data_send, '$.score')) AS lowest_score FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.type) = ""classification""'",transaction_enose,0.4312,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:42.290227
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",transaction_enose,0.2785,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:42.568723
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%klasifikasi=""Baik""%' UNION ALL SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%klasifikasi=""Cacat Mutu""%'",transaction_enose,0.5836,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:43.152308
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT device_id, COUNT(*) AS total FROM transaction_enose WHERE type IN ('multiclass_A', 'multiclass_B', 'multiclass_C', 'multiclass_D', 'multiclass_E') GROUP BY device_id",transaction_enose,0.5536,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:43.706172
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT AVG(JSON_EXTRACT(data_send, '$.score')) AS average_score FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) = 'teh'",transaction_enose,0.4628,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:44.168968
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(device_id) DESC LIMIT 1,transaction_enose,0.313,qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:09:44.483447
