question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,8.1158,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:04.242859
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.7828,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:05.025632
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.7217,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:05.748464
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.7052,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:06.453667
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.796,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:07.250307
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.965,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:08.215269
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) = 'Good'",transaction_enose,1.2787,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:09.493964
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A',transaction_enose,0.682,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:10.176856
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,1.5522,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:11.729092
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,1.0453,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:12.775278
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) FROM transaction_enose,transaction_enose,0.6418,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:13.417114
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,"SELECT * FROM transaction_enose WHERE DATE_FORMAT(date_time, '%H:%i') BETWEEN '10:00' AND '12:00'",transaction_enose,1.4224,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:14.839560
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS lowest_score FROM transaction_enose WHERE type = 'classification'",transaction_enose,1.4714,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:16.310943
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY device_id",transaction_enose,0.9558,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:17.266746
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT (SELECT COUNT(*) FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.transaction_object_detection.value')) = 1 AND type = 'Baik') AS baik, (SELECT COUNT(*) FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.transaction_object_detection.value')) = 0 AND type = 'Cacat Mutu') AS cacat_mutu",transaction_enose,4.0663,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:21.333002
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT type, COUNT(*) AS total FROM transaction_enose WHERE type IN ('A', 'B', 'C', 'D', 'E') GROUP BY type",transaction_enose,1.3737,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:22.707820
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS average_score FROM transaction_enose GROUP BY type",transaction_enose,1.4609,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:24.168698
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1",transaction_enose,1.2479,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:25.416550
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025,transaction_enose,1.6622,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:27.078786
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT DATE(date_time) AS transaction_date, COUNT(*) AS transaction_count FROM transaction_enose GROUP BY transaction_date ORDER BY transaction_count DESC LIMIT 1",transaction_enose,1.459,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:28.537790
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,"SELECT COUNT(*) AS total, (COUNT(*) / (SELECT COUNT(*) FROM transaction_enose) * 100) AS persentase FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.object_detection.value')) = 'Cacat Mutu'",transaction_enose,2.3772,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:30.914968
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT MONTH(date_time) AS bulan, COUNT(*) AS jumlah_transaksi FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.transaction_object_detection.value') > 20 GROUP BY bulan ORDER BY bulan ASC",transaction_enose,2.0429,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:32.957912
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT COUNT(*) AS total_transactions, DATE(date_time) AS transaction_date FROM transaction_enose GROUP BY transaction_date ORDER BY total_transactions DESC LIMIT 1",transaction_enose,1.4389,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:34.396824
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,0.5772,deepseek-coder:6.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:52:34.974039
