question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,11.0399,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:19.084485
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.4927,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:19.577181
3,transaction_enose,Tampilkan data e-nose yang paling lama,"SELECT * FROM transaction_enose ORDER BY date_time_ltmost(date_time, '2023-01-01') DESC LIMIT 1",transaction_enose,0.5424,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:20.119542
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.4426,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:20.564603
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total_greentea_transactions FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.5291,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:21.093738
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE user_key = 'e-nose_1' AND date_time = '2023-10-26',transaction_enose,0.5083,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:21.602074
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.4327,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:22.035346
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE user_key = 'A',transaction_enose,0.4695,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:22.505521
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE DATE(date_time) BETWEEN '2025-02-01' AND '2025-02-28' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.6058,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:23.111308
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.4652,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:23.576491
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT date_time FROM transaction_enose WHERE type = 'e-nose' LIMIT 1,transaction_enose,0.4832,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:24.060791
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2025-01-10 10:00:00' AND '2025-01-12 12:00:00',transaction_enose,0.5985,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:24.659841
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MAX(value) AS lowest_score FROM transaction_enose WHERE type = 'classification',transaction_enose,0.4857,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:25.145514
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT `data_send` FROM `transaction_enose` WHERE `user_key` = 'X001' GROUP BY `device_id` ORDER BY `data_send` DESC LIMIT 50,transaction_enose,0.604,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:25.749522
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT COUNT(*) FROM transaction_enose WHERE type = 'Baik' AND value = '1',transaction_enose,0.5136,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:38:26.263170
