question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,"SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type IN ('data_send', 'value') ORDER BY date_time DESC LIMIT 100",transaction_enose,7.0613,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:52.198657
2,transaction_enose,Tampilkan data e-nose yang paling baru,"SELECT * FROM transaction_enose WHERE device_id IN ('device_id') AND date_time = DATE_SUB(NOW(), INTERVAL 1 DAY)",transaction_enose,0.674,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:52.873703
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND date_time > NOW(),transaction_enose,0.5928,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:53.467502
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT user_key, device_id, date_time, type, data_send FROM transaction_enose WHERE value LIKE 'gre%'",transaction_enose,0.5903,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:54.057789
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea' AND type = 'e-nose',transaction_enose,0.5948,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:54.653563
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.5045,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:55.159061
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.4821,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:55.641163
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'A' AND type IN ('E-Nose', 'Data_Send') ORDER BY value DESC LIMIT 50",transaction_enose,0.7265,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:56.368637
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-02-01' AND type = 'e-nose',transaction_enose,0.683,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:57.051679
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-12-31' AND type = 'e-nose',transaction_enose,0.7024,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:43:57.754618
