question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,4.9168,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:42.718663
2,transaction_enose,Tampilkan data e-nose yang paling baru,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose ORDER BY JSON_EXTRACT(transaction_enose, '$.date_time') DESC LIMIT 1",transaction_enose,0.3532,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:43.071827
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT MAX(value) AS total FROM transaction_enose WHERE date_time > (SELECT MIN(date_time) FROM transaction_enose),transaction_enose,0.2255,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:43.297283
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT JSON_EXTRACT(data_send, '$.type') AS type FROM transaction_enose WHERE type = 'greentea'",transaction_enose,0.2896,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:43.586930
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.2278,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:43.814732
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2496,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:44.068350
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT JSON_EXTRACT(value, '$.type') AS enose_type FROM transaction_enose WHERE data_send = '{""type"": ""Baik""}'",transaction_enose,0.2989,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:44.367204
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT JSON_EXTRACT(data_send, '$.multiclass') AS multiclass FROM transaction_enose WHERE value > 0",transaction_enose,0.2589,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:44.626107
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.data_send')) AS data FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025",transaction_enose,0.3435,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:44.972299
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.value')) AS value FROM transaction_enose WHERE YEAR(date_time) = 2025",transaction_enose,0.2795,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:45.251777
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) FROM transaction_enose WHERE type = 'e-nose',transaction_enose,0.2525,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:45.504263
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,"SELECT JSON_EXTRACT(data_send, '$.user_key') AS user_key, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.device_id')) AS device_id, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.date_time')) AS date_time, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) AS type, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.data_send')) AS data_send, JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.value')) AS value FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.date_time') BETWEEN '2025-10-01 10:00' AND '2025-10-12 12:00'",transaction_enose,0.8671,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:46.371562
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_enose, '$.score')) AS score FROM transaction_enose WHERE type = 'clasifikasi' ORDER BY score DESC LIMIT 1",transaction_enose,0.3449,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:46.716495
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN (SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(device_id) DESC LIMIT 1),transaction_enose,0.3055,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:47.022039
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT JSON_EXTRACT(value, '$.class') AS class FROM transaction_enose WHERE type = 'e-nose' AND data_send = '{""class"": ""Baik"", ""mutu"": 0}' OR data_send = '{""class"": ""Cacat Mutu"", ""mutu"": 1}'",transaction_enose,0.4858,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:47.507888
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?",SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'multiclass',transaction_enose,0.2247,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:47.732630
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT AVG(score) AS rata_rata FROM measurements WHERE type = 'teh',transaction_enose,0.2599,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:47.992540
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT MAX(value) AS max_value, user_key FROM transaction_enose GROUP BY user_key ORDER BY SUM(value) DESC LIMIT 1",transaction_enose,0.2992,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:48.291714
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time LIKE '%/%/2025%' AND device_id = 'e-nose_1' AND type = 'e-nose',transaction_enose,0.3324,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:48.625129
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT MAX(value) AS total FROM transaction_enose WHERE date_time LIKE '%2023%',transaction_enose,0.1972,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:48.822315
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT CAST(SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM transaction_enose WHERE value IS NOT NULL,transaction_enose,0.3351,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:49.157437
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT DATE_FORMAT(date_time, '%Y') AS tahun FROM transaction_enose GROUP BY tahun HAVING COUNT(*) > 20",transaction_enose,0.2548,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:49.412196
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT transaction_enose.* FROM transaction_enose AS t1 INNER JOIN (SELECT device_id, MAX(value) as max_value FROM transaction_enose GROUP BY device_id) AS t2 ON t1.device_id = t2.device_id AND t1.value = t2.max_value ORDER BY t1.date_time DESC LIMIT 1",transaction_enose,0.5247,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:49.936927
24,transaction_object_detection,Tampilkan semua data deteksi objek,"SELECT JSON_EXTRACT(metadata, '$.*') AS data FROM items WHERE type = 'deteksi'",transaction_object_detection,0.2269,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:50.163793
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,"SELECT detection_time, type, value FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10",transaction_object_detection,0.2163,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:50.381595
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT MIN(detection_time) AS time FROM transaction_object_detection WHERE value = (SELECT MIN(value) FROM transaction_object_detection) AND type = 'deteksi',transaction_object_detection,0.3207,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:50.702298
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT MAX(detection_time) AS max_detection_time FROM transaction_object_detection WHERE type = 'deteksi' AND value > (SELECT MIN(value) FROM transaction_object_detection WHERE type = 'deteksi'),transaction_object_detection,0.3461,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:51.048426
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT DISTINCT type FROM transaction_object_detection WHERE value > (SELECT AVG(value) FROM transaction_object_detection),transaction_object_detection,0.2686,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:51.317002
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_object_detection.type, '$.object_type')) AS object_type FROM transaction_object_detection WHERE type = 'car'",transaction_object_detection,0.3212,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:51.638234
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.2072,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:51.845477
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE value < 5 AND type = 'deteksi',transaction_object_detection,0.2555,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:52.101014
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT MAX(detection_time) AS last_detected FROM transaction_object_detection WHERE type = 'deteksi' AND value > (SELECT MIN(value) FROM transaction_object_detection),transaction_object_detection,0.3558,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:52.456850
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(value) FROM transaction_object_detection WHERE detection_time = (SELECT MAX(detection_time) FROM transaction_object_detection) AND type = 'objek',transaction_object_detection,0.3152,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:52.772022
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,"SELECT JSON_UNQUOTE(JSON_EXTRACT(transaction_object_detection.type, '$.type')) AS type, COUNT(*) AS total FROM transaction_object_detection GROUP BY JSON_UNQUOTE(JSON_EXTRACT(transaction_object_detection.type, '$.type'))",transaction_object_detection,0.4197,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:53.191702
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'objek',transaction_object_detection,0.2078,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:53.399455
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'objek' AND detection_time >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) AND detection_time < CURRENT_DATE",transaction_object_detection,0.3425,llama3.2:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:14:53.741932
