question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,10.3841,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:22.572589
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 50,transaction_enose,0.9769,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:23.549469
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,0.8498,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:24.400303
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.867,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:25.267311
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.8766,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:26.143881
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.9326,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:27.076517
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE data_send LIKE '%Baik%',transaction_enose,0.8222,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:27.898692
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A',transaction_enose,0.8627,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:28.761866
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC,transaction_enose,1.0964,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:29.859359
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.8942,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:30.753518
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction FROM transaction_enose,transaction_enose,0.8063,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:31.559793
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE DATE(date_time) BETWEEN '2024-01-01 10:00:00' AND '2024-01-01 12:00:00',transaction_enose,1.3882,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:32.947946
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MIN(value) FROM transaction_enose,transaction_enose,0.764,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:33.711994
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",transaction_enose,0.8808,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:34.592749
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT SUM(CASE WHEN type = 'Baik' THEN 1 ELSE 0 END) + SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) AS total_transaksi FROM transaction_enose,transaction_enose,1.2879,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:35.880608
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT data_send, COUNT(*) AS total FROM transaction_enose WHERE type = 'e-nose' GROUP BY data_send PARTITION BY SUBSTRING(data_send, 1, 1) ORDER BY total DESC",transaction_enose,1.5137,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:37.394284
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(value) AS average_score FROM transaction_enose GROUP BY type",transaction_enose,0.9687,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:38.362942
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,0.9192,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:39.283655
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS jumlah_transaksi FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal",transaction_enose,1.7283,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:41.012458
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT DATE(date_time) AS tanggal FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.0164,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:42.028838
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS persentase FROM transaction_enose WHERE type != '',transaction_enose,1.2787,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:43.307533
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT DATE_FORMAT(date_time, '%Y-%m') AS month FROM transaction_enose GROUP BY month HAVING COUNT(*) > 20 ORDER BY month",transaction_enose,1.3569,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:44.664930
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT DATE(date_time) AS transaction_date FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.2163,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:45.882236
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,0.7678,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:46.650544
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,0.9019,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:47.552410
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 50,transaction_object_detection,0.9351,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:48.487558
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,transaction_object_detection,0.9065,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:49.394031
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT DISTINCT type FROM transaction_object_detection,transaction_object_detection,0.7716,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:50.165678
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',transaction_object_detection,0.8292,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:50.994849
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.8067,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:51.801585
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT * FROM transaction_object_detection WHERE value < 5,transaction_object_detection,0.7993,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:52.601625
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT MAX(detection_time) AS last_detection_time FROM transaction_object_detection,transaction_object_detection,0.9233,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:53.524938
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(value) FROM transaction_object_detection WHERE detection_time BETWEEN '2024-01-01 00:00:00' AND '2024-01-01 23:59:59',transaction_object_detection,1.3995,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:54.924397
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type",transaction_object_detection,0.8801,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:55.804508
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,"SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type",transaction_object_detection,0.8374,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:56.641863
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,"SELECT DATE(detection_time) AS detection_date, COUNT(*) AS total_objects FROM transaction_object_detection GROUP BY detection_date ORDER BY detection_date",transaction_object_detection,1.0967,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:57.740031
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,"SELECT HOUR(detection_time) AS hour, SUM(value) AS total_objects FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' GROUP BY hour ORDER BY hour",transaction_object_detection,1.5181,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:11:59.258625
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,"SELECT DATE(detection_time) AS detection_date, type, SUM(value) AS total_detections FROM transaction_object_detection GROUP BY detection_date, type ORDER BY detection_date, total_detections DESC LIMIT 50",transaction_object_detection,1.4198,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:12:00.678389
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,SELECT type FROM transaction_object_detection GROUP BY type ORDER BY COUNT(*) DESC LIMIT 1,transaction_object_detection,0.8999,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:12:01.578318
