question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE data_send LIKE '%e-nose%',transaction_enose,5.4203,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:15.087512
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE value IS NOT NULL ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3099,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:15.397381
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,0.274,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:15.671388
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.2619,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:15.933302
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.type') = 'greentea'",transaction_enose,0.367,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:16.300315
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send LIKE '%e-nose_1%',transaction_enose,0.3201,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:16.620389
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",transaction_enose,0.335,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:16.955400
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.multiclass') = 'A'",transaction_enose,0.3187,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:17.274075
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.4383,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:17.712329
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.3231,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:18.035466
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT MAX(date_time) AS last_transaction FROM transaction_enose WHERE type = 'e-nose' GROUP BY user_key, device_id",transaction_enose,0.3691,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:18.404590
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',transaction_enose,0.4285,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:18.833055
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(JSON_EXTRACT(data_send, '$.score')) AS lowest_score FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.type) = ""classification""'",transaction_enose,0.4367,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:19.269766
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",transaction_enose,0.2673,Qwen2.5:3B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:19:19.537019
