question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'data_send',transaction_enose,4.8136,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:22.703521
2,transaction_enose,Tampilkan data e-nose yang paling baru,"SELECT device_id, date_time, type, data_send FROM transaction_enose WHERE value LIKE '%e%'",transaction_enose,0.2953,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:22.998782
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND date_time = NOW(),transaction_enose,0.3194,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:23.318133
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT user_key, device_id, date_time, type, data_send, value FROM transaction_enose WHERE value LIKE '%greentea%' AND type = 'e-nose'",transaction_enose,0.3736,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:23.691722
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea' AND type = 'e-nose',transaction_enose,0.3176,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:24.009368
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2632,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:24.272569
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.2315,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:24.504592
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'A' AND type IN ('data_send', 'value')",transaction_enose,0.3109,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:24.815503
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE date_time = DATE('2025-02-01') AND type = 'e-nose',transaction_enose,0.3459,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:25.161400
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-01-01' AND type = 'e-nose',transaction_enose,0.362,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:25.523389
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('device_id', 'device_id') AND type = 'e-nose'",transaction_enose,0.3326,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:25.855978
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2023-07-10 10:00:00' AND '2023-07-12 12:00:00',transaction_enose,0.4742,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:26.330178
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) ORDER BY score DESC LIMIT 50,transaction_enose,0.2967,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:26.626834
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) as total FROM transaction_enose WHERE device_id = 'device_id' AND type = 'e-nose',transaction_enose,0.3104,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:26.937211
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT SUM(CASE WHEN type = 'Baik' THEN 1 ELSE 0 END) AS Baik_count, SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) AS Cacat_count FROM transaction_enose WHERE device_id IN ('user_key', 'device_id') AND date_time BETWEEN '2025-01-01' AND '2025-01-31'",transaction_enose,0.7984,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:27.735595
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('A', 'B', 'C', 'D', 'E')",transaction_enose,0.3379,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:28.073519
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT (count(*) / count(user_key)) AS rata_rate FROM measurements WHERE score > (SELECT AVG(score) FROM measurements),transaction_enose,0.3209,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:28.394454
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose WHERE type = 'data_sent' AND data_send IS NOT NULL GROUP BY device_id",transaction_enose,0.3297,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:28.724144
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_e_nose_1' AND date_time BETWEEN '2025-07-01' AND '2025-07-31',transaction_enose,0.481,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:29.205168
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time >= CURDATE() AND date_time < DATEADD(day, 7, CURDATE())",transaction_enose,0.3487,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:29.553844
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Cacat Mutu' AND data_send IS NOT NULL GROUP BY device_id HAVING MIN(date_time) BETWEEN '2025-01-01' AND '2025-01-31',transaction_enose,0.5674,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:30.121266
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT SUM(CASE WHEN type = 'e-nose' THEN date_time ELSE 0 END) AS total_transaksi FROM transaction_enose WHERE device_id LIKE '%20%' AND type = 'e-nose',transaction_enose,0.4565,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:30.580566
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT COUNT(*) AS total_transaksi FROM transaction_enose WHERE date_time = CURDATE() AND type = 'e-nose',transaction_enose,0.328,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:30.908560
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection WHERE type = 'DETECTION',transaction_object_detection,0.2479,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:31.156425
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection WHERE detection_time BETWEEN '2025-01-01' AND '2025-01-31' ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,0.4351,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:31.591505
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection WHERE type = 'Paling Baru',transaction_object_detection,0.2352,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:31.826726
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,"SELECT detection_time, type FROM transaction_object_detection WHERE value > (SELECT MAX(value) FROM transaction_object_detection)",transaction_object_detection,0.2935,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:32.120273
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN '2025-01-01' AND '2025-01-31',transaction_object_detection,0.3859,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:32.507191
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',"SELECT detection_time, type, value FROM transaction_object_detection WHERE device_id = 'car'",transaction_object_detection,0.2574,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:32.764636
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.2212,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:32.985874
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,"SELECT detection_time, COUNT(*) AS total FROM transaction_object_detection WHERE type = 'nilai' AND value = 5 ORDER BY detection_time DESC LIMIT 1",transaction_object_detection,0.4287,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:33.414583
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > CURRENT_DATE() AND detection_time <= DATE_SUB(CURRENT_DATE(), INTERVAL 1 DAY)",transaction_object_detection,0.3812,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:33.795764
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(detection_time) AS detection_time FROM transaction_object_detection WHERE type = 'objekt',transaction_object_detection,0.2784,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:34.074168
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > NOW() AND detection_time < DATE_SUB(NOW(), INTERVAL 1 DAY)",transaction_object_detection,0.3382,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:34.412323
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'deteksi',transaction_object_detection,0.2404,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:34.652769
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time >= CURDATE() AND detection_time < CURDATE() + INTERVAL 1 DAY,transaction_object_detection,0.3484,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:35.001131
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN '2025-02-19' AND '2025-02-24' ORDER BY detection_time DESC LIMIT 50,transaction_object_detection,0.4433,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:35.444406
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN CURRENT_DATE AND CURRENT_DATE + INTERVAL '1 day',transaction_object_detection,0.3035,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:35.747909
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type IN ('value', 'user_key') AND detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.3499,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:36.097839
40,transaction_object_detection,Jenis objek apa yang paling sering muncul dalam record deteksi?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time = '2025-01-01' AND type IN ('value', 'user_key')",transaction_object_detection,0.3845,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:36.482349
41,transaction_object_detection,Pada jam berapa deteksi people terbanyak terjadi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE user_key LIKE 'people%' AND detection_time BETWEEN '2025-01-01' AND '2025-01-31',transaction_object_detection,0.4406,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T10:26:36.922919
