question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,6.4249,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:30.811804
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE type = 'new' ORDER BY created_at DESC LIMIT 1,transaction_enose,0.3251,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:31.136859
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose),transaction_enose,0.343,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:31.479852
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT transaction_enose.type, transaction_enose.data_send FROM transaction_enose WHERE transaction_enose.type = 'greentea' ORDER BY transaction_enose.date_time DESC",transaction_enose,0.4766,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:31.956480
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.289,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:32.245438
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.3005,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:32.548969
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.2258,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:32.774751
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A',transaction_enose,0.2425,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:33.017283
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.4524,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:33.469671
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND type = 'e-nose',transaction_enose,0.336,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:33.805655
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction FROM transaction_enose WHERE type = 'e-nose',transaction_enose,0.332,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:34.137615
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2022-03-10 10:00:00' AND '2022-03-10 12:00:00',transaction_enose,0.5507,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:34.688306
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total_low_score FROM transaction_enose WHERE type = 'low_score' AND value IS NULL,transaction_enose,0.3371,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:35.027996
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IS NOT NULL,transaction_enose,0.2763,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:35.304247
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Baik' AND data_send = '[{""type"":""Cacat Mutu""}]' AND value IS NOT NULL",transaction_enose,0.4234,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:35.727640
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT COUNT(*) AS total FROM transaction_enose WHERE type IN ('A', 'B', 'C', 'D', 'E')",transaction_enose,0.3767,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:36.104331
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT 'teh' AS category, AVG(value) AS average_score FROM transaction_enose WHERE type = 'teh' GROUP BY category",transaction_enose,0.3552,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:36.462101
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY device_id ORDER BY total_transactions DESC LIMIT 1",transaction_enose,0.4226,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:14:36.885552
