question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE type = 'e-nose',transaction_enose,21.756,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:33.300721
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE device_id = 'e-nose' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5602,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:33.861671
3,transaction_enose,Tampilkan data e-nose yang paling lama,"SELECT user_key, device_id, date_time FROM transaction_enose ORDER BY date_time ASC LIMIT 1",transaction_enose,0.5696,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:34.431909
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'green tea' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.508,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:34.941413
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'green tea' AND JSON_UNQUOTE(JSON_EXTRACT(data_send, ""$.type"")) = 'green tea'",transaction_enose,0.8403,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:35.782676
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.5063,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:36.290017
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.368,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:36.658542
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.539,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:37.198100
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time ASC LIMIT 50,transaction_enose,0.8323,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:38.030445
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND type = 'e-nose' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.7702,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:38.801620
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS lastest_transaction FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5356,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:39.338247
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE HOUR(date_time) BETWEEN 10 AND 11 ORDER BY date_time ASC LIMIT 50,transaction_enose,0.7179,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:40.057696
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(CAST(JSON_UNQUOTE(JSON_EXTRACT(value, '$.classificationScore')) AS UNSIGNED)) AS lowestClassificationScore FROM transaction_enose ORDER BY CAST(JSON_UNQUOTE(JSON_EXTRACT(value, '$.classificationScore')) AS UNSIGNED) ASC LIMIT 1",transaction_enose,1.4036,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:41.461295
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS transaction_count FROM transaction_enose GROUP BY device_id ORDER BY transaction_count DESC",transaction_enose,0.5624,phi3.5:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T11:31:42.023709
