question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT 1,transaction_enose,4.659,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:45.993284
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT 1,transaction_enose,0.234,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:46.227257
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT 1,transaction_enose,0.3754,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:46.602669
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT 1,transaction_enose,0.4016,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:47.004280
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT 1,transaction_enose,0.2534,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:47.257672
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT 1,transaction_enose,0.3096,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:47.567314
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT 1,transaction_enose,0.309,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:47.876276
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT 1,transaction_enose,0.2341,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:48.110363
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT 1,transaction_enose,0.2732,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:48.383535
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT 1,transaction_enose,0.1431,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:48.526665
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT 1,transaction_enose,0.2784,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:48.805038
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT 1,transaction_enose,0.2547,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:49.059764
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT 1,transaction_enose,0.2981,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:49.357868
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT 1,transaction_enose,0.3245,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:49.682322
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT 1,transaction_enose,0.3964,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:50.078697
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?",SELECT 1,transaction_enose,0.1736,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:50.252261
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT 1,transaction_enose,0.2852,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:50.537505
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT 1,transaction_enose,0.145,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:50.682506
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT 1,transaction_enose,0.3202,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:51.002742
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT 1,transaction_enose,0.4578,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:51.460582
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT 1,transaction_enose,0.1433,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:51.603925
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT 1,transaction_enose,0.422,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:52.025970
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT 1,transaction_enose,0.1148,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:52.140728
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT 1,transaction_object_detection,0.1936,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:52.334368
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT 1,transaction_object_detection,0.3969,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:52.731244
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT 1,transaction_object_detection,0.3523,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:53.083550
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT 1,transaction_object_detection,0.3467,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:53.430225
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT 1,transaction_object_detection,0.1397,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:53.569923
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT 1,transaction_object_detection,0.1626,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:53.732494
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT 1,transaction_object_detection,0.36,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:54.092501
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT 1,transaction_object_detection,0.2276,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:54.320062
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT 1,transaction_object_detection,0.1396,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:54.459683
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT 1,transaction_object_detection,0.2246,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:54.684239
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,SELECT 1,transaction_object_detection,0.3425,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:55.026708
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT 1,transaction_object_detection,0.3432,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:55.369916
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,SELECT 1,transaction_object_detection,0.3288,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:55.699741
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,SELECT 1,transaction_object_detection,0.2821,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:55.981799
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,SELECT 1,transaction_object_detection,0.2734,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:56.255235
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,SELECT 1,transaction_object_detection,1.7796,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:58.034871
40,transaction_object_detection,Jenis objek apa yang paling sering muncul dalam record deteksi?,SELECT 1,transaction_object_detection,0.5394,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:58.575249
41,transaction_object_detection,Pada jam berapa deteksi people terbanyak terjadi?,SELECT 1,transaction_object_detection,0.1735,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:58.748766
42,transaction_object_detection,Berapa persentase setiap jenis objek dari total keseluruhan?,SELECT 1,transaction_object_detection,0.291,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:59.039793
43,transaction_object_detection,Tampilkan total deteksi objek per jenis dari device edge_1,SELECT 1,transaction_object_detection,0.3684,deepseek-r1:1.5b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:59.408155
