question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,6.8721,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:10.663822
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.379,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:11.042779
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY datetime DESC LIMIT 1,transaction_enose,0.3772,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:11.420023
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.3686,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:11.788659
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,"SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) = 'greentea'",transaction_enose,0.554,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:12.343689
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total_transfers FROM transaction_enose WHERE device_id = 'e-nose_1' AND type = 'data send',transaction_enose,0.5252,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:12.868849
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) = 'Baik'",transaction_enose,0.49,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:13.358861
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.class')) = 'A'",transaction_enose,0.47,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:13.830435
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 AND type = 'e-nose' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.598,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:14.428408
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.4194,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:14.847854
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction_date FROM transaction_enose WHERE type = 'e-nose',transaction_enose,0.4429,phi4-mini:3.8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:48:15.290784
