question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,7.4995,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:36.459326
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 50,transaction_enose,1.1478,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:37.607150
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,1.0552,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:38.663427
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,1.006,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:39.669947
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,1.0812,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:40.751735
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,1.1442,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:41.896566
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE data_send LIKE '%Baik%',transaction_enose,1.0373,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:42.934431
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A',transaction_enose,1.0484,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:43.983407
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC,transaction_enose,1.5395,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:45.523424
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,1.1797,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:46.704353
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction FROM transaction_enose,transaction_enose,1.0904,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:47.795310
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE DATE(date_time) BETWEEN '2024-01-01 10:00:00' AND '2024-01-01 12:00:00',transaction_enose,1.9593,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:49.755151
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MIN(value) FROM transaction_enose,transaction_enose,0.9713,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:50.727157
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id",transaction_enose,1.1365,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:51.864708
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT SUM(CASE WHEN type = 'Baik' THEN 1 ELSE 0 END) + SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) AS total_transaksi FROM transaction_enose,transaction_enose,1.7745,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:53.639742
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT data_send, COUNT(*) AS total FROM transaction_enose WHERE type = 'e-nose' GROUP BY data_send IN ('A', 'B', 'C', 'D', 'E')",transaction_enose,2.3646,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:56.004846
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(value) AS average_score FROM transaction_enose GROUP BY type",transaction_enose,1.316,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:57.321345
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.1832,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:43:58.505190
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,"SELECT DATE(date_time) AS tanggal, COUNT(*) AS jumlah_transaksi FROM transaction_enose WHERE device_id = 'e-nose_1' AND YEAR(date_time) = 2025 AND MONTH(date_time) = 7 GROUP BY tanggal ORDER BY tanggal",transaction_enose,2.1901,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:00.696338
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT DATE(date_time) AS tanggal FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.4113,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:02.108180
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT SUM(CASE WHEN type = 'Cacat Mutu' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS persentase FROM transaction_enose WHERE type != '',transaction_enose,1.8068,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:03.915561
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT MONTH(date_time) AS bulan FROM transaction_enose GROUP BY MONTH(date_time) HAVING COUNT(*) > 20 ORDER BY bulan,transaction_enose,1.8748,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:05.790950
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT DATE(date_time) AS transaction_date FROM transaction_enose GROUP BY DATE(date_time) ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.7457,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:07.537611
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,1.0908,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:08.629081
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,1.0975,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:09.726551
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 50,transaction_object_detection,1.128,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:10.855061
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT * FROM transaction_object_detection ORDER BY detection_time ASC LIMIT 1,transaction_object_detection,1.1063,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:11.962404
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT DISTINCT type FROM transaction_object_detection,transaction_object_detection,0.9052,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:12.867585
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',transaction_object_detection,1.0017,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:13.869807
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,1.107,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:14.977317
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT * FROM transaction_object_detection WHERE value < 5,transaction_object_detection,1.0608,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:16.038733
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT MAX(detection_time) AS last_detection_time FROM transaction_object_detection,transaction_object_detection,1.1094,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:17.148179
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(value) FROM transaction_object_detection,transaction_object_detection,0.9495,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:18.097697
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,"SELECT type, SUM(value) AS total FROM transaction_object_detection GROUP BY type",transaction_object_detection,1.0751,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:19.173332
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,"SELECT type, COUNT(*) AS total FROM transaction_object_detection GROUP BY type",transaction_object_detection,1.0236,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:20.198410
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,"SELECT DATE(detection_time) AS detection_date, COUNT(*) AS total_objects FROM transaction_object_detection GROUP BY detection_date ORDER BY detection_date",transaction_object_detection,1.4502,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:21.648587
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,"SELECT HOUR(detection_time) AS hour, SUM(value) AS total_objects FROM transaction_object_detection WHERE DATE(detection_time) = '2025-02-19' GROUP BY hour ORDER BY hour",transaction_object_detection,2.2418,gemma3:4b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-02-27T12:44:23.891062
