question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,8.7534,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:48.725069
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5891,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:49.314206
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,0.5057,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:49.819910
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.5516,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:50.372114
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.6482,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:51.022451
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.657,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:51.681967
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.classification')) = 'Baik'",transaction_enose,0.7118,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:52.393742
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE type = 'multiclass' AND JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.label')) = 'A'",transaction_enose,0.7909,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:53.184982
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 50,transaction_enose,0.931,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:54.116011
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.6512,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:54.767229
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT DATE(date_time) AS transaksi_akhir FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.618,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:55.385188
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE DATE_TIME BETWEEN '2023-10-01 10:00:00' AND '2023-10-01 12:00:00',transaction_enose,1.2233,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:56.609918
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SQL: SELECT MIN(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS min_score FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score')) IS NOT NULL",transaction_enose,0.9563,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:57.566258
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS total_transactions FROM transaction_enose GROUP BY device_id",transaction_enose,0.6591,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:58.225382
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT type, COUNT(*) AS total FROM transaction_enose WHERE type IN ('Baik', 'Cacat Mutu') GROUP BY type",transaction_enose,0.8752,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:57:59.102122
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT multiclass, COUNT(*) AS total_transactions FROM (SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.multiclass')) AS multiclass FROM transaction_enose) AS enose_data GROUP BY multiclass ORDER BY total_transactions DESC",transaction_enose,1.2997,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:58:00.401859
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS avg_score FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.type') = 'teh' GROUP BY type ORDER BY avg_score DESC",transaction_enose,1.2523,qwen2.5:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:58:01.655210
