question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'data_send' ORDER BY date_time DESC LIMIT 100,transaction_enose,10.5101,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:50.058911
2,transaction_enose,Tampilkan data e-nose yang paling baru,"SELECT device_id, date_time, value FROM transaction_enose WHERE type = 'e-nose'",transaction_enose,0.2721,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:50.331058
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'e-nose',transaction_enose,0.3145,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:50.645572
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT user_key, device_id, date_time, type, value FROM transaction_enose WHERE value LIKE 'gre%'",transaction_enose,0.2902,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:50.935812
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea',transaction_enose,0.245,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:51.180783
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) as total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2719,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:51.453039
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.2239,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:51.676895
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE device_id = 'A' AND type IN ('data_send', 'value') ORDER BY date_time DESC LIMIT 50",transaction_enose,0.3655,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:52.042437
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE date_time = '2025-02-01' AND type = 'e-nose',transaction_enose,0.3384,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:52.380824
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-12-31' AND type = 'e-nose',transaction_enose,0.374,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:52.754782
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('device_id', 'device_id') AND date_time > NOW()",transaction_enose,0.3271,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:53.082908
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2023-04-05 09:00:00' AND '2023-04-06 12:00:00',transaction_enose,0.4801,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:53.562996
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) ORDER BY score DESC LIMIT 50,transaction_enose,0.3037,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:53.866706
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('device_id_1', 'device_id_2') AND type = 'e-nose'",transaction_enose,0.3689,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:54.235580
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'Baik' AND type IN ('Mutu', 'Cacat')",transaction_enose,0.3461,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:54.581640
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('A', 'B', 'C', 'D', 'E')",transaction_enose,0.3529,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:54.936134
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT (count(*) / count(*) as ratio) AS ratio FROM measurements WHERE score > (SELECT AVG(score) FROM measurements),transaction_enose,0.2966,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:55.232725
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS count FROM transaction_enose GROUP BY device_id HAVING COUNT(*) > 0",transaction_enose,0.2971,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:55.529816
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_e_nose_1' AND date_time BETWEEN '2025-07-01' AND '2025-07-31' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5365,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:56.066303
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = NOW() AND type = 'e-nose',transaction_enose,0.2931,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:56.359376
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Cacat Mutu',transaction_enose,0.2514,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:56.610793
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT year(date_time) AS month, COUNT(*) as count FROM transaction_enose WHERE device_id IN ('device1', 'device2') AND type = 'e-nose' AND data_send LIKE '%20%' ORDER BY month DESC LIMIT 50",transaction_enose,0.5629,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:57.175864
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT SUM(CASE WHEN type = 'e-nose' THEN data_send ELSE 0 END) AS total_transaksi FROM transaction_enose WHERE date_time = CURRENT_DATE(),transaction_enose,0.3967,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:57.572526
24,transaction_object_detection,Tampilkan semua data deteksi objek,"SELECT detection_time, type, value FROM transaction_object_detection",transaction_object_detection,0.2462,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:57.818753
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,"SELECT * FROM transaction_object_detection WHERE type = 'TERBARU' AND detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.361,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:58.179727
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection WHERE detection_time > NOW() AND detection_time < DATE('2025-01-01'),transaction_object_detection,0.3573,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:58.538808
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT * FROM transaction_object_detection WHERE detection_time = NOW() AND type = 'paling lama',transaction_object_detection,0.2926,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:58.833148
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN '2025-01-01' AND '2025-01-31',transaction_object_detection,0.39,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:59.223131
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',"SELECT detection_time, type, value FROM transaction_object_detection WHERE device_id = 'car'",transaction_object_detection,0.269,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:59.492358
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus',transaction_object_detection,0.238,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:15:59.730328
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,"SELECT detection_time, COUNT(*) as total FROM transaction_object_detection WHERE type = 'nilai' AND value <> 0 GROUP BY detection_time ORDER BY detection_time DESC LIMIT 1",transaction_object_detection,0.4085,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:00.138855
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > CURRENT_DATE(),transaction_object_detection,0.251,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:00.391373
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,"SELECT MIN(detection_time) AS min_objekt FROM transaction_object_detection WHERE type IN ('object', 'data') AND value IS NOT NULL",transaction_object_detection,0.3471,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:00.738875
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'jenis',transaction_object_detection,0.24,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:00.979954
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'deteksi' AND value IS NOT NULL,transaction_object_detection,0.279,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:01.258934
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time >= CURDATE() AND detection_time < CURDATE() + INTERVAL 1 DAY,transaction_object_detection,0.3431,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:01.602081
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN '2025-02-19' AND '2025-02-20',transaction_object_detection,0.3864,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:01.989005
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.3142,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:02.303214
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type IN ('value', 'user_key') AND detection_time BETWEEN DATE_SUB(NOW(), INTERVAL 1 DAY) AND NOW()",transaction_object_detection,0.3877,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:02.690894
40,transaction_object_detection,Jenis objek apa yang paling sering muncul dalam record deteksi?,"SELECT detection_time, type FROM transaction_object_detection WHERE value = 'Object Detected'",transaction_object_detection,0.2588,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:02.949720
41,transaction_object_detection,Pada jam berapa deteksi people terbanyak terjadi?,"SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'people' AND detection_time < DATE_SUB(CURRENT_DATE, INTERVAL 1 DAY) ORDER BY detection_time DESC LIMIT 50",transaction_object_detection,0.4311,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:03.380806
42,transaction_object_detection,Berapa persentase setiap jenis objek dari total keseluruhan?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time BETWEEN DATE(NOW()) AND NOW() GROUP BY type,transaction_object_detection,0.3847,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:03.765526
43,transaction_object_detection,Tampilkan total deteksi objek per jenis dari device edge_1,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time = CURRENT_DATE AND type = 'edge_1',transaction_object_detection,0.3135,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:04.078995
44,transaction_enose + transaction_object_detection,Device apa saja yang ada di tabel e-nose tapi tidak ada di tabel object detection?,"SELECT COUNT(*) AS count FROM transaction_enose WHERE type IN ('device', 'object') GROUP BY device_id HAVING COUNT(*) > 0","transaction_enose, transaction_object_detection",0.3873,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:04.466334
45,transaction_enose + transaction_object_detection,Berapa jumlah transaksi per hari dari kedua tabel digabung?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time >= DATE_SUB(NOW(), INTERVAL 1 DAY) AND date_time <= NOW()","transaction_enose, transaction_object_detection",0.3636,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:04.829945
