question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,9.1511,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:24.762782
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.8078,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:25.570582
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY DATE(date_time) DESC LIMIT 1,transaction_enose,0.8643,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:26.434913
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.7439,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:27.178819
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,"SELECT COUNT(*) AS total FROM transaction_enose WHERE JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.type')) = 'greentea'",transaction_enose,1.1964,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:28.375200
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.8927,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:29.268553
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.classification') = 'Baik'",transaction_enose,0.9381,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:30.206643
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,"SELECT * FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.class') = 'A'",transaction_enose,0.9076,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:31.114290
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025 ORDER BY date_time DESC LIMIT 50,transaction_enose,1.1844,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:32.298728
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.7837,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:33.082378
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction FROM transaction_enose,transaction_enose,0.7693,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:33.851693
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE TIME(date_time) BETWEEN '10:00:00' AND '12:00:00',transaction_enose,1.1333,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:34.984995
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,"SELECT MIN(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS terendah FROM transaction_enose",transaction_enose,0.9992,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:35.984226
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT COUNT(*) AS total FROM transaction_enose GROUP BY JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.device_id'))",transaction_enose,1.0785,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:37.062742
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.klasifikasi') = 'Baik' OR JSON_EXTRACT(data_send, '$.klasifikasi') = 'Cacat Mutu'",transaction_enose,1.8638,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:38.926557
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.multiclass')) AS multiclass, COUNT(*) AS total FROM transaction_enose GROUP BY JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.multiclass'))",transaction_enose,1.6243,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:40.550828
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT AVG(JSON_UNQUOTE(JSON_EXTRACT(data_send, '$.score'))) AS rata_rata FROM transaction_enose WHERE type = 'teh'",transaction_enose,1.1934,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:41.744238
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,0.9071,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:42.651329
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE MONTH(date_time) = 7 AND YEAR(date_time) = 2025 AND device_id = 'e-nose_1' GROUP BY DATE(date_time),transaction_enose,1.5481,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:44.199380
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT DATE(date_time) AS hari, COUNT(*) AS total FROM transaction_enose GROUP BY DATE(date_time) ORDER BY total DESC LIMIT 1",transaction_enose,1.1428,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:45.342180
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,"SELECT CAST(SUM(CASE WHEN JSON_EXTRACT(data_send, '$.type') = 'Cacat Mutu' THEN 1 ELSE 0 END) AS DECIMAL(10, 2)) * 100 / COUNT(*) AS persentase FROM transaction_enose",transaction_enose,1.9699,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:47.312075
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT YEAR(date_time) AS tahun, MONTH(date_time) AS bulan, COUNT(*) AS total_transaksi FROM transaction_enose WHERE JSON_EXTRACT(data_send, '$.value') > 20 GROUP BY YEAR(date_time), MONTH(date_time) ORDER BY total_transaksi DESC",transaction_enose,2.4205,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:49.732598
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT t1.date_time, t1.device_id, t1.type, t1.data_send, t1.value FROM transaction_enose t1 JOIN (SELECT YEAR(date_time) AS tahun, MONTH(date_time) AS bulan, COUNT(*) AS total_transaksi FROM transaction_enose GROUP BY tahun, bulan ORDER BY total_transaksi DESC LIMIT 1) t2 ON t1.tahun = t2.tahun AND t1.bulan = t2.bulan",transaction_enose,4.0238,llama3.1:8b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:47:53.756353
