question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE type = 'transaction',transaction_enose,4.552,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:48.880148
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3216,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:49.204394
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose) ORDER BY date_time DESC LIMIT 1,transaction_enose,0.3409,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:49.545297
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE data_send = 'greentea',transaction_enose,0.1836,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:49.728946
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE data_send = 'greentea' AND type = 'transaction',transaction_enose,0.2405,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:49.969432
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2069,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:50.176301
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.1599,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:50.337671
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE data_send = 'multiclass A' AND type = 'transaksi',transaction_enose,0.222,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:50.559672
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025,transaction_enose,0.2807,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:50.840362
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.2025,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:51.042831
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) FROM transaction_enose WHERE type = 'transaksi' GROUP BY user_key ORDER BY date_time DESC LIMIT 1,transaction_enose,0.31,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:51.353815
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '10:00:00' AND '12:00:00',transaction_enose,0.2915,granite3.3:2b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T16:53:51.648012
