question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE user_key IS NOT NULL AND device_id IS NOT NULL AND date_time IS NOT NULL AND type IS NOT NULL AND data_send IS NOT NULL AND value IS NOT NULL,transaction_enose,5.1167,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:10.505470
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE user_key = 'paling baru' ORDER BY value DESC LIMIT 1,transaction_enose,0.1965,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:10.701995
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE user_key = 'paling lama' AND length(data_send) < length(user_key) AND length(value) < length(data_send) ORDER BY data_send DESC LIMIT 1,transaction_enose,0.2941,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:10.996089
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.1289,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:11.125296
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE jenis = 'greentea' AND user_key LIKE '%greentea%',transaction_enose,0.2098,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:11.335135
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE user_key = 'e-nose_1' AND type = 'dikirim' AND data_send IS NOT NULL,transaction_enose,0.2242,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:11.559372
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',"SELECT user_key, device_id, date_time, type, data_send, value FROM transaction_enose WHERE type = 'Baik' AND user_key = 'Baik' AND device_id = 'Baik' AND date_time = '2021-01-01'",transaction_enose,0.3333,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:11.892720
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE user_key = 'multiclass A',transaction_enose,0.1561,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:12.048816
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,"SELECT user_key, device_id, date_time, type, data_send, value FROM transaction_enose WHERE DATE(date_time) = '2025-02-01' AND MONTH(device_id) = 2 AND YEAR(user_key) = 2025",transaction_enose,0.302,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:12.350859
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 1 ORDER BY user_key ASC LIMIT 10,transaction_enose,0.233,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:12.583822
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT * FROM transaction_enose WHERE user_key = 'Khan' AND device_id = 'E1' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.2286,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:12.812373
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE user_key = 'User123' AND date_time BETWEEN '2023-01-10 00:00' AND '2023-01-11 00:00' ORDER BY value DESC LIMIT 1,transaction_enose,0.3315,InternLM2:1.8B,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:18:13.143896
