question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE date_time > '2023-01-01 00:00:00' AND type = 'data_send' ORDER BY date_time DESC LIMIT 50,transaction_enose,6.7898,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:25.408821
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE date_time = (SELECT MAX(date_time) FROM transaction_enose),transaction_enose,0.2922,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:25.701047
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE date_time = LAST_INSERT_ID() ORDER BY date_time DESC LIMIT 1,transaction_enose,0.326,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:26.027059
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,"SELECT * FROM transaction_enose WHERE type = 'greentea' ORDER BY device_id, date_time DESC LIMIT 50",transaction_enose,0.2943,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:26.321315
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'greentea',transaction_enose,0.2397,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:26.561009
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.2559,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:26.818660
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.1808,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:26.999419
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE device_id = 'e-nose' AND type = 'multiclass A',transaction_enose,0.2654,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:27.266380
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2 ORDER BY date_time DESC LIMIT 100,transaction_enose,0.4138,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:27.681374
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND type = 'e-nose' ORDER BY date_time DESC LIMIT 100,transaction_enose,0.3982,smollm2:1.7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:16:28.080533
