question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT 1,transaction_enose,4.0738,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:15.307515
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT 1,transaction_enose,0.1736,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:15.481094
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT 1,transaction_enose,0.1425,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:15.624189
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT 1,transaction_enose,0.1163,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:15.740460
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT 1,transaction_enose,0.1377,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:15.878121
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT 1,transaction_enose,0.1293,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.007457
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT 1,transaction_enose,0.1084,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.116342
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT 1,transaction_enose,0.1458,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.262186
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT 1,transaction_enose,0.1235,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.385711
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT 1,transaction_enose,0.1249,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.511201
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT 1,transaction_enose,0.1205,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.631687
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT 1,transaction_enose,0.1339,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.766109
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT 1,transaction_enose,0.1357,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.902282
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT 1,transaction_enose,0.0919,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:16.994165
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT 1,transaction_enose,0.1301,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.124236
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?",SELECT 1,transaction_enose,0.1137,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.238490
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT 1,transaction_enose,0.1146,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.353090
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT 1,transaction_enose,0.1131,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.466703
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT 1,transaction_enose,0.1183,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.585564
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT 1,transaction_enose,0.1375,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.723031
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT 1,transaction_enose,0.1261,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.849125
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT 1,transaction_enose,0.113,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:17.962589
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT 1,transaction_enose,0.1145,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.077064
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT 1,transaction_object_detection,0.1498,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.230958
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT 1,transaction_object_detection,0.1055,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.336473
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT 1,transaction_object_detection,0.1381,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.474533
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT 1,transaction_object_detection,0.1254,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.600423
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT 1,transaction_object_detection,0.1306,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.731047
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT 1,transaction_object_detection,0.1342,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.865278
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT 1,transaction_object_detection,0.1238,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:18.989552
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT 1,transaction_object_detection,0.1364,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.126490
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT 1,transaction_object_detection,0.1302,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.257157
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT 1,transaction_object_detection,0.1089,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.366533
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,SELECT 1,transaction_object_detection,0.1159,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.482429
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT 1,transaction_object_detection,0.1227,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.605646
36,transaction_object_detection,Berapa total objek yang terdeteksi per hari?,SELECT 1,transaction_object_detection,0.1341,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.739731
37,transaction_object_detection,Berapa total objek yang terdeteksi per jam pada tanggal 19 Februari 2025?,SELECT 1,transaction_object_detection,0.0937,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.833956
38,transaction_object_detection,Berapa total deteksi setiap jenis objek per hari?,SELECT 1,transaction_object_detection,0.1307,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:19.965155
39,transaction_object_detection,Jenis objek apa yang paling banyak jumlah totalnya?,SELECT 1,transaction_object_detection,0.1002,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.065885
40,transaction_object_detection,Jenis objek apa yang paling sering muncul dalam record deteksi?,SELECT 1,transaction_object_detection,0.134,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.199889
41,transaction_object_detection,Pada jam berapa deteksi people terbanyak terjadi?,SELECT 1,transaction_object_detection,0.1207,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.320548
42,transaction_object_detection,Berapa persentase setiap jenis objek dari total keseluruhan?,SELECT 1,transaction_object_detection,0.1321,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.453730
43,transaction_object_detection,Tampilkan total deteksi objek per jenis dari device edge_1,SELECT 1,transaction_object_detection,0.1246,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.578290
44,transaction_enose + transaction_object_detection,Device apa saja yang ada di tabel e-nose tapi tidak ada di tabel object detection?,SELECT 1,"transaction_enose, transaction_object_detection",0.1474,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.726197
45,transaction_enose + transaction_object_detection,Berapa jumlah transaksi per hari dari kedua tabel digabung?,SELECT 1,"transaction_enose, transaction_object_detection",0.1333,qwen3:1.7b-nothink,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:24:20.859973
