question_id,db_id,gold_sql,predicted_sql,esm_match,exec_match,pred_syntax_valid,gold_syntax_valid,is_select1,pred_valid,gold_valid,comparison,pred_latency_ms,gold_latency_ms,pred_error,gold_error,pred_syntax_error,pred_rows_count,gold_rows_count,pred_rows_preview,gold_rows_preview
1,transaction_enose,SELECT * FROM transaction_enose,SELECT * FROM transaction_enose,True,True,True,True,False,True,True,match,1.85,1.846,,,,233,233,"1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco...","1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco..."
2,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,True,True,True,True,False,True,True,match,0.369,0.286,,,,1,1,"1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Score"":[51.9],""Multiclass"":[""A""]}]","1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Score"":[51.9],""Multiclass"":[""A""]}]"
3,transaction_enose,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,False,False,True,True,False,True,True,mismatch,0.278,0.274,,,,1,1,"1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Score"":[51.9],""Multiclass"":[""A""]}]","eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}}"
4,transaction_enose,SELECT * FROM transaction_enose WHERE type = 'greentea',SELECT * FROM transaction_enose WHERE type = 'greentea',True,True,True,True,False,True,True,match,1.728,1.701,,,,233,233,"1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco...","1 | e-nose_2 | 2026-04-08 10:18:15 | greentea | [{""MQ9"":149.42},{""MQ4"":261.7},{""TGS2602"":84.44},{""MQ6"":154.18},{""MQ5"":454.56},{""TGS2620"":75.47},{""MQ138"":372.19},{""MQ3"":151.35},{""TGS822"":28.64},{""MQ7"":199.39}] | [{""Class"":""Baik"",""Score"":[50.2],""Multiclass"":[""A""]}] || 1 | e-nose_2 | 2026-04-08 10:23:28 | greentea | [{""MQ9"":235.29},{""MQ4"":286.73},{""TGS2602"":86.73},{""MQ6"":233.96},{""MQ5"":401.82},{""TGS2620"":93.21},{""MQ138"":380.38},{""MQ3"":170.82},{""TGS822"":31.73},{""MQ7"":117.65}] | [{""Class"":""Baik"",""Sco..."
5,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'greentea',True,True,True,True,False,True,True,match,0.248,0.236,,,,1,1,233,233
6,transaction_enose,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',SELECT COUNT(*) AS total FROM transaction_enose WHERE user_key = 'e-nose_1' AND date_time = '2023-10-26',False,False,True,True,False,True,True,mismatch,0.277,0.246,,,,1,1,0,228
7,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Class:Baik%',SELECT * FROM transaction_enose WHERE type = 'Baik',False,True,True,True,False,True,True,match,0.311,0.311,,,,0,0,,
8,transaction_enose,SELECT * FROM transaction_enose WHERE value LIKE '%Multiclass:A%',SELECT * FROM transaction_enose WHERE user_key = 'A',False,True,True,True,False,True,True,match,0.308,0.385,,,,0,0,,
9,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025 AND MONTH(date_time) = 2,SELECT * FROM transaction_enose WHERE DATE(date_time) BETWEEN '2025-02-01' AND '2025-02-28' ORDER BY date_time DESC LIMIT 50,False,False,True,True,False,True,True,mismatch,0.69,0.767,,,,50,80,"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | e-nose_1 | 2025-02-13 15:27:26 | greentea | [{""MQ3"":526.7333333333,""TGS822"":38.9,""TGS2602"":48.8833333333,""MQ5"":51.7166666667,""MQ138"":371.0,""TGS2620"":78.9333333333}] | {""0"":{""Class"":""Baik"",""Score"":[47.8],""Multiclass"":[""E""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZi...","eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF..."
10,transaction_enose,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,True,True,True,True,False,True,True,match,1.684,1.704,,,,231,231,"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF...","eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF9.oKQl5BMeQq1RGsHvqG2ROBn0Qb3iYyNpphOGZpG0oKk | 10.251.251.172:8080 | 2025-02-07 15:41:57 | greentea | [{""MQ3"":562,""TGS822"":36,""TGS2602"":48,""MQ5"":46,""MQ138"":394,""TGS2620"":63}] | {""0"":{""Class"":""Cacat Mutu"",""Score"":[42.6],""Multiclass"":[""A""]}} || eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwdWJsaWNfaWQiOiI5OTRlZmIxNi01N2Y3LTQwZmItYTgyZi1kYmFhNGZiYTUwODEiLCJleHAiOjE2NjA5NzIyNjF..."
