question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose WHERE type = 'e-nose' AND value IS NOT NULL,transaction_enose,6.9032,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:32.629990
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose WHERE device_id = 'device_id' AND type = 'e-nose' AND data_send = 'paling baru' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.566,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:33.197155
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose WHERE value > (SELECT MAX(value) FROM transaction_enose) ORDER BY value DESC LIMIT 50,transaction_enose,0.4753,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:33.672457
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE device_id = 'greentea' AND type = 'e-nose' AND data_send = 'greentea' AND value = 'greentea' ORDER BY date_time DESC LIMIT 50,transaction_enose,0.6442,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:34.316654
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total_transaksi FROM transaction_enose WHERE type = 'greentea' AND value LIKE '%gre%',transaction_enose,0.4262,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:34.742813
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id_e_nose_1' ORDER BY count(*) DESC LIMIT 1,transaction_enose,0.4963,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:35.239132
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.341,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:35.581046
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'A' AND type = 'E-Nose' AND data_send = 'E',transaction_enose,0.517,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:36.098061
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE date_time = '2025-02-01' AND type = 'e-nose',transaction_enose,0.4713,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:36.569322
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-01-01' AND type = 'e-nose' AND value > (SELECT MAX(value) FROM transaction_enose WHERE date_time = '2025-01-01') ORDER BY date_time DESC LIMIT 50,transaction_enose,0.7679,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:37.337263
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,"SELECT COUNT(*) FROM transaction_enose WHERE device_id = 'device_id' AND date_time > DATE_SUB(NOW(), INTERVAL 1 DAY)",transaction_enose,0.4574,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:37.794634
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2023-01-10 10:00:00' AND '2023-01-12 12:00:00',transaction_enose,0.621,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:38.415661
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'terendah' GROUP BY type ORDER BY total DESC LIMIT 50,transaction_enose,0.4658,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:38.881505
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id' ORDER BY value DESC LIMIT 1,transaction_enose,0.4599,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:39.342384
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT COUNT(*) AS total_transaksi FROM transaction_enose WHERE device_id = 'device_id' AND type = 'Baik' OR type = 'Cacat Mutu' ORDER BY data_send DESC LIMIT 50,transaction_enose,0.623,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:39.965429
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id IN ('A', 'B', 'C', 'D', 'E')",transaction_enose,0.474,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:40.440627
17,transaction_enose,Berapa rata-rata score per jenis teh?,SELECT (SELECT COUNT(*) FROM measurements WHERE score > (SELECT AVG(score) FROM measurements)) / (SELECT COUNT(*) FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) LIMIT 1) AS rata_rate FROM measurements WHERE score > (SELECT AVG(score) FROM measurements) ORDER BY score DESC LIMIT 50,transaction_enose,0.75,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:41.191554
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT device_id, COUNT(*) AS total FROM transaction_enose WHERE value != 'NULL' AND type = 'data_send'",transaction_enose,0.4508,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:41.642380
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'device_id' AND date_time = '2025-07-01' ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5887,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:42.231095
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT COUNT(*) AS total FROM transaction_enose WHERE date_time = '2025-01-01' GROUP BY date_time ORDER BY total DESC LIMIT 50,transaction_enose,0.5223,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:42.753410
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT COUNT(*) FROM transaction_enose WHERE type = 'Cacat Mutu' AND data_send != 'NULL' ORDER BY count DESC LIMIT 1,transaction_enose,0.5014,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:43.254812
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'device_id' AND date_time >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND value > 20 ORDER BY date_time DESC LIMIT 50",transaction_enose,0.6379,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:43.892676
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT SUM(CASE WHEN type = 'e-nose' THEN value ELSE 0 END) AS total_e-nose FROM transaction_enose WHERE date_time = '2025-01-01' AND device_id = 'X001' ORDER BY total_e-nose DESC LIMIT 1,transaction_enose,0.7164,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:44.609035
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection WHERE type = 'DETECTION' AND detection_time >= '2025-01-01' AND detection_time <= '2025-01-31',transaction_object_detection,0.5348,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:45.145864
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection WHERE detection_time >= '2025-01-01' AND detection_time <= '2025-01-31' AND type = 'TERBARU',transaction_object_detection,0.5804,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:45.727290
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection WHERE type = 'Paling Baru',transaction_object_detection,0.3562,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:46.083454
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,SELECT * FROM transaction_object_detection WHERE detection_time = '2025-01-01',transaction_object_detection,0.4366,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:46.520988
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT COUNT(*) as total FROM transaction_object_detection WHERE detection_time = '2025-01-01' AND detection_time = '2025-01-31' ORDER BY detection_time DESC LIMIT 50,transaction_object_detection,0.6143,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:47.135320
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE device_id = 'car',transaction_object_detection,0.3468,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:47.482101
30,transaction_object_detection,Berapa jumlah record deteksi untuk jenis 'bus'?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'bus' AND value = 1,transaction_object_detection,0.4135,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:47.895629
31,transaction_object_detection,Tampilkan deteksi objek yang nilainya kurang dari 5,SELECT * FROM transaction_object_detection WHERE detection_time > '2025-01-01' AND detection_time < '2025-01-31' LIMIT 50,transaction_object_detection,0.573,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:48.472137
32,transaction_object_detection,Kapan deteksi objek terakhir dilakukan?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > '2025-01-01' AND detection_time < '2025-01-31' GROUP BY detection_time ORDER BY total DESC LIMIT 50,transaction_object_detection,0.6394,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:49.111927
33,transaction_object_detection,Berapa nilai minimum objek yang terdeteksi dalam satu snapshot?,SELECT MIN(detection_time) AS minimum_object_detected FROM transaction_object_detection WHERE type = 'object' AND value != 0,transaction_object_detection,0.4552,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:49.567171
34,transaction_object_detection,Berapa total masing-masing jenis objek yang terdeteksi?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE detection_time > '2025-01-01' AND detection_time < '2025-01-31',transaction_object_detection,0.5382,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:50.105373
35,transaction_object_detection,Berapa jumlah record deteksi per jenis objek?,SELECT COUNT(*) AS total FROM transaction_object_detection WHERE type = 'deteksi' AND value <> 0,transaction_object_detection,0.41,falcon3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:49:50.520990
