question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,7.6802,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:27.595149
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.7527,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:28.347891
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time ASC LIMIT 1,transaction_enose,0.8348,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:29.182730
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.6745,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:29.859315
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.7679,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:30.627190
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE device_id = 'e-nose_1',transaction_enose,0.8914,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:31.518587
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.7024,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:32.220957
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE type = 'multiclass A' ORDER BY date_time DESC,transaction_enose,0.9881,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:33.209818
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE MONTH(date_time) = 2 AND YEAR(date_time) = 2025,transaction_enose,1.2081,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:34.417967
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.829,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:35.246920
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT MAX(date_time) AS last_transaction FROM transaction_enose,transaction_enose,0.735,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:35.981872
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '10:00:00' AND '12:00:00',transaction_enose,1.2231,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:37.205011
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MIN(value) AS lowest_score FROM transaction_enose WHERE type = 'klasifikasi' AND data_send IS NOT NULL AND data_send != '' AND value IS NOT NULL AND value != '' AND user_key IS NOT NULL AND user_key != '' AND device_id IS NOT NULL AND device_id != '',transaction_enose,2.6374,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:39.842422
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,"SELECT device_id, COUNT(*) AS transaction_count FROM transaction_enose GROUP BY device_id",transaction_enose,0.9699,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:40.814837
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,"SELECT COUNT(*) AS total FROM transaction_enose WHERE type IN ('Baik', 'Cacat Mutu') GROUP BY device_id ORDER BY total DESC",transaction_enose,1.3865,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:42.201319
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT type, COUNT(*) AS total FROM transaction_enose GROUP BY type",transaction_enose,0.7256,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:42.926950
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT type, AVG(value) AS average_score FROM transaction_enose WHERE type IN ('Teh Hujan', 'Teh Kepala', 'Teh Goreng', 'Teh Manis') GROUP BY type",transaction_enose,1.7634,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:44.690357
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,SELECT device_id FROM transaction_enose GROUP BY device_id ORDER BY COUNT(*) DESC LIMIT 1,transaction_enose,1.1281,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:45.818427
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'e-nose_1' AND MONTH(date_time) = 7 AND YEAR(date_time) = 2025,transaction_enose,1.868,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:47.686446
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,"SELECT date_time, COUNT(*) AS total FROM transaction_enose GROUP BY date_time ORDER BY total DESC LIMIT 1",transaction_enose,1.2453,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:48.931795
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT COUNT(*) AS total FROM transaction_enose WHERE type = 'Cacat Mutu',transaction_enose,0.7975,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:49.729254
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,"SELECT MONTH(date_time) AS month, COUNT(*) AS transaction_count FROM transaction_enose WHERE type = 'e-nose' AND value > 20 GROUP BY month ORDER BY month ASC",transaction_enose,1.551,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:51.280293
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,"SELECT device_id, COUNT(*) AS total FROM transaction_enose GROUP BY device_id ORDER BY total DESC LIMIT 1",transaction_enose,1.0416,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:52.321897
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,0.5335,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:52.855412
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection WHERE device_id IN (SELECT device_id FROM device WHERE device_id = 'X001') ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,1.4729,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:54.330371
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection WHERE device_id = 'device_id' ORDER BY detection_time DESC LIMIT 1,transaction_object_detection,1.2734,codellama:7b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-03-06T10:50:55.603722
