question_id,db_id,question,predicted_sql,retrieved_tables,latency_seconds,llm_model,embedding_model,top_k,method,timestamp
1,transaction_enose,Tampilkan semua data transaksi e-nose,SELECT * FROM transaction_enose,transaction_enose,5.0311,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:40.925343
2,transaction_enose,Tampilkan data e-nose yang paling baru,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.5068,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:41.432183
3,transaction_enose,Tampilkan data e-nose yang paling lama,SELECT * FROM transaction_enose ORDER BY date_time DESC LIMIT 1,transaction_enose,0.4364,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:41.868632
4,transaction_enose,Tampilkan semua transaksi e-nose untuk jenis greentea,SELECT * FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.452,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:42.321125
5,transaction_enose,Berapa jumlah transaksi e-nose untuk jenis greentea?,SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'greentea',transaction_enose,0.5036,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:42.824722
6,transaction_enose,Berapa jumlah transaksi yang dikirim oleh device e-nose_1?,SELECT COUNT(*) AS total FROM transaction_enose WHERE user_key = 'e-nose_1' AND date_time = '2023-10-26',transaction_enose,0.5548,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:43.379490
7,transaction_enose,Tampilkan transaksi e-nose yang hasil klasifikasinya 'Baik',SELECT * FROM transaction_enose WHERE type = 'Baik',transaction_enose,0.4029,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:43.782437
8,transaction_enose,Tampilkan transaksi e-nose dengan multiclass A,SELECT * FROM transaction_enose WHERE user_key = 'A',transaction_enose,0.462,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:44.244453
9,transaction_enose,Tampilkan transaksi e-nose pada bulan Februari 2025,SELECT * FROM transaction_enose WHERE DATE(date_time) BETWEEN '2025-02-01' AND '2025-02-28',transaction_enose,0.5652,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:44.809695
10,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada tahun 2025,SELECT * FROM transaction_enose WHERE YEAR(date_time) = 2025,transaction_enose,0.4418,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:45.252011
11,transaction_enose,Kapan transaksi e-nose terakhir terjadi?,SELECT date_time FROM transaction_enose WHERE type = 'e-nose' ORDER BY date_time ASC LIMIT 1,transaction_enose,0.5299,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:45.781922
12,transaction_enose,Tampilkan transaksi e-nose yang terjadi antara jam 10:00 dan 12:00,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2025-01-10 10:00:00' AND '2025-01-12 12:00:00',transaction_enose,0.6849,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:46.467374
13,transaction_enose,Berapa score klasifikasi terendah yang pernah tercatat?,SELECT MAX(value) AS lowest_score FROM transaction_enose WHERE type = 'classification',transaction_enose,0.4446,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:46.912011
14,transaction_enose,Berapa jumlah transaksi e-nose per device?,SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE device_id = 'X001',transaction_enose,0.5319,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:47.443941
15,transaction_enose,Tampilkan jumlah transaksi e-nose dengan klasifikasi Baik dan Cacat Mutu secara bersamaan,SELECT COUNT(*) FROM transaction_enose WHERE type = 'Baik' AND data_send LIKE '%Cacat Mutu%',transaction_enose,0.5178,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:47.962154
16,transaction_enose,"Berapa jumlah transaksi e-nose untuk masing-masing multiclass (A, B, C, D, E)?","SELECT 'A' AS source, COUNT(*) AS total_transactions FROM transaction_enose WHERE type = 'E' GROUP BY 'A' ORDER BY total_transactions DESC",transaction_enose,0.6501,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:48.612243
17,transaction_enose,Berapa rata-rata score per jenis teh?,"SELECT category, AVG(score) AS average_score FROM transaction_enose GROUP BY category ORDER BY average_score DESC LIMIT 50",transaction_enose,0.4803,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:49.092526
18,transaction_enose,Device mana yang paling sering mengirimkan data e-nose?,"SELECT user_key, COUNT(*) AS count FROM transaction_enose GROUP BY user_key ORDER BY count DESC LIMIT 1",transaction_enose,0.5722,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:49.664742
19,transaction_enose,Berapa jumlah transaksi e-nose per hari untuk device e-nose_1 pada bulan Juli 2025?,SELECT COUNT(*) AS total_transactions FROM transaction_enose WHERE user_key = 'e-nose_1' AND device_id = 'e-nose_1' AND date_time BETWEEN '2025-07-01' AND '2025-07-31',transaction_enose,0.7828,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:50.447550
20,transaction_enose,Pada hari apa jumlah transaksi e-nose paling banyak?,SELECT date_time FROM transaction_enose ORDER BY value DESC LIMIT 1,transaction_enose,0.4042,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:50.851763
21,transaction_enose,Berapa persentase transaksi e-nose yang terdeteksi sebagai Cacat Mutu?,SELECT CAST(SUM(CASE WHEN data_send ~ 'Cacat Mutu' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) AS percentage_cacat_mutu FROM transaction_enose WHERE type = 'Cacat Mutu',transaction_enose,0.7199,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:51.571655
22,transaction_enose,Tampilkan bulan-bulan dimana jumlah transaksi e-nose lebih dari 20,SELECT DATE(date_time) FROM transaction_enose WHERE value > 20,transaction_enose,0.4671,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:52.038768
23,transaction_enose,Tampilkan transaksi e-nose yang terjadi pada hari dengan total transaksi terbanyak,SELECT * FROM transaction_enose WHERE date_time BETWEEN '2024-01-01' AND '2024-01-31' ORDER BY value DESC LIMIT 1,transaction_enose,0.5733,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:52.612040
24,transaction_object_detection,Tampilkan semua data deteksi objek,SELECT * FROM transaction_object_detection,transaction_object_detection,0.4601,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:53.072108
25,transaction_object_detection,Tampilkan 10 data deteksi objek terbaru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 10,transaction_object_detection,0.4468,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:53.518931
26,transaction_object_detection,Tampilkan data deteksi objek yang paling baru,SELECT * FROM transaction_object_detection ORDER BY detection_time DESC LIMIT 1,transaction_object_detection,0.4549,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:53.974369
27,transaction_object_detection,Tampilkan data deteksi objek yang paling lama,"SELECT detection_time, type FROM transaction_object_detection WHERE value > 1000000 ORDER BY detection_time DESC LIMIT 1",transaction_object_detection,0.5002,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:54.474608
28,transaction_object_detection,Apa saja jenis objek yang pernah terdeteksi?,SELECT type FROM transaction_object_detection WHERE detection_time = '2023-10-26',transaction_object_detection,0.4994,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:54.973973
29,transaction_object_detection,Tampilkan semua data deteksi untuk objek 'car',SELECT * FROM transaction_object_detection WHERE type = 'car',transaction_object_detection,0.4556,gemma3:1b,mxbai-embed-large,3,IMRON_MySQL_NLSQLTableQueryEngine,2026-05-11T21:13:55.429549
